planet_name,radius_of_planet,planet_mass,orbital_period,transit_depth,orbital_eccentricity,effective_temperature_of_star,radius_of_star,orbital_inclination,impact_parameter,transit_duration,ratio_of_distance_to_star,ratio_of_radii
55 Cnc e,2.08,8.667004615384615,0.7365437000000001,0.041,0.06099999999999999,5234.0,0.94,87.29999999999998,0.16,1.596,3.517,0.0202
AU Mic b,3.9569999999999994,22.221566666666664,8.46308,0.2379,0.00577,3678.0,0.7399999999999999,89.579,0.134,3.4927000000000006,18.79,0.0488
AU Mic c,2.522,14.899999999999999,18.85969,0.097,0.00338,3678.0,0.74,89.227,0.3,4.236,32.05,0.0311
CoRoT-10 b,10.87,875.0811,13.2406,1.61036,0.53,5075.0,0.79,88.55,0.85,2.98,31.33,0.1269
CoRoT-11 b,16.03,777.085875,2.99433,1.1449,0.0,6440.0,1.37,83.17,0.818,2.5009,6.89,0.107
CoRoT-16 b,13.11,169.08203500000002,5.35227,1.02,0.33,5650.0,1.19,85.01,0.825,2.39,11.2,0.101
CoRoT-8 b,6.39,69.28629000000001,6.21229,0.651,0.0,5080.0,0.77,88.4,0.49,2.74,17.6,0.075
CoRoT-9 b,11.77,266.33974,95.2738,1.55,0.11,5625.0,0.94,89.99,0.01,8.08,93.0,0.115
DS Tuc A b,5.7,413.179,8.138268,0.2936,0.0,5428.0,0.96,89.5,0.18,3.1764,20.35,0.05419
G 9-40 b,2.025,11.7,5.746007,0.365,0.0,3348.0,0.31,88.57,0.672,1.3368,27.0,0.0605
GJ 1214 b,2.733,6.9487499999999995,1.5804045300000003,1.343,0.0062,3101.0,0.22,88.98,0.264,0.86966,14.97,0.11589
GJ 367 b,0.718,0.5895,0.321962,0.0212,0.0,3522.0,0.46,80.75,0.55,0.615,3.41,0.0143
GPX-1 b,16.477,6261.21962,1.744579,0.9,0.0,7000.0,1.56,79.9,0.82,2.09,4.67,0.095
HAT-P-11 b,4.803999999999999,25.694674,4.887802294,0.43330199999999996,0.0,4775.0,0.762,89.92399999999999,0.0322,2.364506,16.70872,0.057898000000000005
HAT-P-12 b,10.749,66.21262285714286,3.2130598,1.977,0.0,4650.0,0.7,89.0,0.211,2.3375999999999997,11.77,0.1406
HAT-P-14 b,12.89,775.2285514285714,4.627669,0.648,0.107,6600.0,1.47,83.5,0.891,2.1888,8.87,0.0805
HAT-P-16 b,14.448000000000002,1335.891818,2.77596,1.147,0.036,6158.0,1.24,86.6,0.43899999999999995,3.0624,7.17,0.1071
HAT-P-20 b,9.718,2305.8889799999997,2.875317,0.9898,0.015,4595.0,0.69,86.8,0.631,1.848,11.17,0.1284
HAT-P-21 b,11.478,1366.9687333333334,4.124481,0.7341000000000001,0.228,5588.0,1.1,87.2,0.546,3.672,9.6,0.09500000000000001
HAT-P-22 b,12.106,703.7767283333333,3.21222,0.8893999999999999,0.016,5302.0,1.04,86.90000000000002,0.466,2.8704,8.55,0.1065
HAT-P-23 b,15.334,607.7038,1.212884,1.0536,0.10600000000000001,5905.0,1.2,85.1,0.324,2.1792,4.14,0.1169
HAT-P-24 b,13.922,226.165918,3.35524,0.9410000000000001,0.067,6373.0,1.32,88.6,0.189,3.6936,7.58,0.097
HAT-P-25 b,13.030499999999998,180.41896,3.6528255699999996,0.6986,0.0275,5509.5,0.94,87.91000000000001,0.40149999999999997,2.81532,10.68,0.1272
HAT-P-26 b,6.333000000000001,19.969996666666667,4.234516,0.543,0.124,5079.0,0.79,88.59999999999998,0.303,2.4552,13.06,0.0737
HAT-P-27 b,11.43,200.86409333333333,3.039577,1.43,0.0,5316.0,0.86,85.0,0.87,1.68,9.804,0.12
HAT-P-28 b,13.585,200.705355,3.257215,1.4719,0.051,5680.0,1.1,88.0,0.299,3.2184,8.43,0.113
HAT-P-29 b,12.167,246.25253600000002,5.723288,0.8083,0.08499999999999999,6101.0,1.23,87.54499999999999,0.504,3.6348,11.629999999999999,0.0906
HAT-P-30 b,15.02,238.11641,2.810595,0.8072000000000001,0.035,6304.0,1.22,83.6,0.8539999999999999,2.1288,7.42,0.11339999999999999
HAT-P-31 b,11.99,700.41063,5.005425,0.65,0.245,6065.0,1.36,87.1,0.57,5.139,8.9,0.08
HAT-P-32 b,21.1235,252.67288333333332,2.1500081,2.03415,0.0795,6104.0,1.2950000000000002,88.94,0.10000000000000002,3.11424,5.697,0.14983
HAT-P-33 b,18.898,237.73422499999998,3.474474,0.7798,0.0,6446.0,1.64,87.2,0.325,4.4136,6.56,0.1058
HAT-P-35 b,14.93,1020.2296933333333,3.646706,0.91,0.025000000000000005,6096.0,1.4400000000000002,87.3,0.357,3.936,7.45,0.0954
HAT-P-36 b,15.211,574.0604533333334,1.3273466,1.588,0.063,5560.0,1.11,85.19,0.373,2.23248,4.665,0.126
HAT-P-37 b,13.204,377.0472333333334,2.797436,1.899,0.058,5500.0,0.88,86.90000000000002,0.505,2.3304,9.32,0.1378
HAT-P-39 b,17.609,185.608635,3.54387,0.999,0.0,6430.0,1.62,87.0,0.349,4.188,6.74,0.0993
HAT-P-40 b,19.392,177.55821,4.457243,0.4040000000000001,0.0,6080.0,2.21,88.3,0.17400000000000002,6.1368,5.919999999999999,0.0807
HAT-P-41 b,18.887,284.85238749999996,2.694047,0.771,0.0,6390.0,1.68,87.7,0.222,4.0896,5.44,0.1028
HAT-P-5 b,14.12,327.36245,2.788491,1.2448,0.0,5960.0,1.17,86.75,0.425,2.9208,7.5,0.1106
HAT-P-6 b,14.908,355.5434416666667,3.852985,0.8255,0.0,6570.0,1.46,85.51,0.602,3.5064000000000006,7.69,0.09338
HAT-P-69 b,18.786,1137.8314,4.7869491,0.7627,0.0,7394.0,1.93,87.19,0.366,5.1264,7.32,0.08703
HAT-P-7 b,17.514000000000003,562.4338937499999,2.2047353739999997,0.6691900000000001,0.0,6350.8,2.126,89.06,0.07104,3.882524,4.680960799999999,0.07544000000000001
HAT-P-70 b,20.961,2154.8874,2.74432452,0.8443,0.0,8450.0,1.86,96.5,-0.629,3.48,5.45,0.09887
HAT-P-8 b,16.81,443.55922799999996,3.0763776,0.6427,0.0,6200.0,1.58,87.5,0.32,3.8088,6.35,0.0953
HAT-P-9 b,15.652000000000001,237.608228,3.9228503600000004,1.1569999999999998,0.042,6350.0,1.33,86.47,0.515,3.396,8.55,0.10763
HATS-11 b,16.926,266.97720000000004,3.6191613,1.18,0.34,6060.0,1.44,88.31,0.203,4.3656,6.88,0.1076
HATS-12 b,15.132,758.02455,3.142833,0.47,0.085,6408.0,2.21,82.7,0.589,4.5576,4.67,0.063
HATS-36 b,13.843,1022.14128,4.1752387,1.4,0.105,6149.0,1.16,87.61,0.452,3.46272,10.1,0.10966
HATS-6 b,11.187,101.38777,3.3252725,3.23,0.0,3724.0,0.57,88.21,0.427,2.04096,13.65,0.17978
HD 118203 b,12.733,744.3616125,6.134985,0.3083,0.314,5683.0,2.1,88.88,0.111,5.6503,7.23,0.05552
HD 136352 b,1.5729999999999997,4.716666666666666,11.57788,0.019399999999999997,0.0395,5757.0,1.035,88.675,0.465,3.9354999999999998,20.1,0.013925
HD 136352 c,2.762,11.11,27.591555,0.0598,0.0185,5757.0,1.035,88.6145,0.863,3.2299,35.865,0.024445000000000005
HD 136352 d,2.562,9.299999999999999,107.245,0.0492,0.0,5664.0,1.06,89.73,0.41,8.87,86.46,0.02219
HD 137496 b,1.31,4.04,1.62116,0.00575,0.0,5799.0,1.59,85.8,0.27,3.28,3.7,0.0076
HD 1397 b,11.5,124.27153,11.53533,0.2037,0.251,5521.0,2.34,88.99,0.17,8.6016,10.1,0.04513
HD 15337 b,1.699,7.355,4.75642,0.0344,0.17,5131.0,0.84,88.36,0.386,2.5536,13.43,0.01856
HD 15337 c,2.522,8.45,17.1784,0.0758,0.19,5131.0,0.84,88.413,0.876,2.232,31.63,0.02754
HD 202772 A b,17.318,323.23311,3.308958,0.3755,0.038,6272.0,2.59,84.51,0.403,5.6304,4.33,0.06128
HD 207897 b,2.501,14.4,16.202159,0.0866,0.047,5070.0,0.78,88.757,0.709,2.911,32.13,0.02943
HD 3167 b,1.7,5.2,0.9596409999999999,0.0294,0.0,5261.0,0.86,83.4,0.4699999999999999,1.6220000000000003,4.082,0.01744
HD 3167 c,3.01,9.9825,29.8454,0.0946,0.267,5261.0,0.86,89.3,0.5,5.15,40.323,0.0313
HD 332231 b,9.718,77.55052,18.71204,0.4867,0.032,6089.0,1.28,89.68,0.133,6.156,24.21,0.06976
HD 73583 b,2.84,13.05,6.3980661,0.1446,0.294,4582.0,0.68,89.45,0.134,2.08,19.03,0.03803
HD 73583 c,2.73,16.1,18.8805,0.1433,0.093,4582.0,0.68,89.61,0.26,3.624,39.15,0.0379
HD 89345 b,7.3305,36.37291,11.814299999999998,0.14930000000000002,0.22,5599.0,1.74,87.38499999999999,0.6224999999999999,5.720400000000001,13.475,0.03865
HD 97658 b,2.341,8.12946,9.4909,0.0934,0.063,5119.0,0.7,89.45,0.23,2.9712,24.359999999999996,0.0306
HIP 65 A b,22.754,979.390795,0.9809734,8.2,0.0,4590.0,0.72,77.18,1.169,0.78576,5.289,0.287
K2-100 b,3.45,21.8,1.6739024,0.0703,0.0,6120.0,1.19,87.3,0.36,1.6056,7.79,0.02651
K2-114 b,10.447,613.4103,11.3909311,0.01352,0.081,4920.0,0.82,89.21,0.361,3.97,24.63,0.1163
K2-140 b,13.563,309.724595,6.569188,1.557,0.0,5585.0,1.06,88.3,0.42,3.81,14.1,0.117
K2-167 b,2.264,6.5,9.97857,0.0201,0.41,6141.0,1.46,87.41,0.48,3.631,14.72,0.01417
K2-180 b,2.242,11.44182,8.8665,0.12,0.0,5110.0,0.69,88.9,0.4,2.98,22.2,0.0297
K2-232 b,11.859,124.748275,11.168459,0.7764,0.255,5888.0,1.23,89.61,0.108,5.03016,17.28,0.08811
K2-237 b,16.197,444.85533333333336,2.18053539,1.385,0.042,6360.0,1.26,88.03000000000002,0.20099999999999998,2.9278,6.07,0.11769999999999999
K2-25 b,3.44,24.5,3.48456408,1.155,0.428,3207.0,0.29,87.16,0.628,0.7637,21.09,0.1075
K2-260 b,17.396,451.3186,2.6266657,0.947,0.0,6367.0,1.69,88.67,0.122,4.1676,5.291,0.09731
K2-261 b,9.520333333333333,66.10842666666667,11.633465333333334,0.28063333333333335,0.308,5495.0,1.6433333333333333,88.27000000000001,0.31666666666666665,5.129333333333333,13.696666666666665,0.05297333333333333
K2-266 c,0.705,0.29013,7.814,0.0085,0.042,4285.0,0.7,88.28,0.6,2.256,20.8,0.0092
K2-266 d,2.93,8.9,14.697,0.1465,0.047,4285.0,0.7,89.46,0.29,3.408,31.7,0.03827
K2-266 e,2.73,14.3,19.482,0.127,0.043,4285.0,0.7,89.45,0.36,3.6648,38.2,0.03564
K2-285 b,2.59,9.68,3.471745,0.097,0.0,4975.0,0.79,86.846,0.57,2.18,10.43,0.03013
K2-285 c,3.53,15.68,7.138048,0.21,0.0,4975.0,0.79,89.861,0.05,2.52,22.51,0.04115
K2-285 d,2.48,6.5,10.45582,0.1,0.0,4975.0,0.79,89.643,0.2,2.504,32.2,0.0289
K2-285 e,1.95,10.7,14.76289,0.068,0.0,4975.0,0.79,89.799,0.17,2.3,49.43,0.0227
K2-29 b,11.209,213.422845,3.2589263,1.884,0.084,5222.0,0.75,87.89,0.452,2.13,11.77,0.1373
K2-30 b,11.646,189.74451,4.098503,1.603,0.0,5425.0,0.84,86.92,0.662,2.3208,12.339999999999998,0.1266
K2-33 b,5.76,1160.0795,5.42513,0.23,0.0,3410.0,1.1,86.9,0.49,4.22,9.2,0.0476
KELT-11 b,15.244,62.29468,4.7363145,0.267,0.00035,5372.5,2.705,85.55,0.38199999999999995,7.23,4.955,0.05165
KELT-12 b,19.952,301.9385,5.031623,0.596,0.0,6279.0,2.37,84.47,0.586,5.7624,6.08,0.0772
KELT-14 b,17.038,394.1092,1.7100588,1.306,0.0,5802.0,1.37,79.67,0.831,2.1336,4.64,0.1143
KELT-15 b,16.175,352.7913,3.329441,1.003,0.0,6003.0,1.48,88.3,0.2,4.1256,6.7,0.1001
KELT-16 b,15.861,874.0325,0.9689951,1.146,0.0,6236.0,1.36,84.4,0.32,2.4888,3.23,0.107
KELT-18 b,17.598,375.0394,2.8717518,0.716,0.0,6670.0,1.91,88.86,0.102,4.644,5.138,0.08462
KELT-21 b,17.777,1242.7153,3.6127647,0.99,0.0,7598.0,1.64,86.46,0.423,4.10544,6.86,0.09952
KELT-23 A b,14.83,298.12454,2.255251,1.864,0.0,5899.0,1.0,85.37,0.576,2.38104,7.13,0.1365
KELT-24 b,14.258,1490.619355,5.5514926,0.753,0.077,6509.0,1.51,89.17,0.134,4.30008,9.95,0.08677
KELT-3 b,15.076,518.58598,2.7033904,0.882,0.0,6306.0,1.47,84.23,0.606,3.1512,6.02,0.0939
KELT-4 A b,19.044,286.68266,2.9895932,1.187,0.0,6206.0,1.6,83.16,0.689,3.46272,5.792,0.10893
KELT-6 b,13.372,145.853365,7.8457,0.602,0.22,6102.0,1.58,88.81,0.2,5.52,10.79,0.07761
KELT-7 b,17.183,424.30305,2.7347749,0.828,0.0,6789.0,1.73,83.76,0.597,3.5112,5.49,0.09097
KELT-8 b,20.849,252.67485,3.2440599999999997,1.311,0.035,5754.0,1.67,82.65,0.741,3.4656,5.900000000000001,0.1145
KELT-9 b,21.196,845.4277999999999,1.4811235,0.677,0.0,10170.0,2.36,86.79,0.177,3.91584,3.153,0.08228
KOI-12 b,14.090000000000002,1739.5895333333333,17.855205956000002,0.91362,0.0,6672.6,1.4660000000000002,89.91799999999999,0.02154,7.4215279999999995,20.00076,0.08827399999999999
KOI-1257 b,7.872,460.83000000000004,86.647658952,0.783162,0.0,5359.2,0.9099999999999999,89.96000000000001,0.013300000000000001,4.25402,168.0286,0.079414
KOI-13 b,24.364,2645.4762125,1.7635875900000002,0.46040600000000004,0.0,9099.8,2.964,84.49600000000001,0.39692,3.175896,4.28994,0.075306
KOI-142 b,3.8800000000000003,9.852266666666667,10.916200893333333,0.14716666666666667,0.0,5590.333333333333,0.9533333333333334,87.66333333333334,0.6399333333333334,3.5834333333333337,18.4,0.03734
KOI-1599.01,2.016,4.6,20.40922562,0.034421999999999994,0.0,5810.4,0.96,86.85600000000001,0.60906,6.83378,18.404,0.019242
KOI-1599.02,43.268,9.0,13.6159183,0.036906,0.0,5810.4,0.96,76.518,1.3584999999999998,4.307460000000001,8.104000000000001,0.40783
KOI-1783.01,8.396666666666667,71.0,134.47617596666666,0.4242683333333333,0.0,6098.833333333333,1.065,89.40016666666666,0.9257166666666666,5.904733333333333,94.16000000000001,0.07238166666666666
KOI-1783.02,4.952,15.0,284.0576592,0.16684000000000002,0.0,6134.2,1.05,89.776,0.8619600000000001,7.910259999999999,161.072,0.043234
KOI-1831 d,1.158,2.23,34.206700716,0.022052,0.0,5315.0,0.796,89.77000000000001,0.27490000000000003,4.77422,53.45241119999999,0.013418
KOI-1833 d,2.1075,11.02,7.6843345175,0.114935,0.0,4398.25,0.5774999999999999,88.7525,0.468225,1.23915,41.2575,0.0335875
KOI-2513.01,70.152,7310.05336,19.005395154000002,0.05463,0.0,6350.0,1.052,84.978,1.5983,2.0241,18.34,0.6188359999999999
KOI-3503 b,0.775,9.2,21.187593075000002,0.007875,0.0,6342.25,0.85,89.5675,0.21915,3.0044999999999997,51.12675,0.0083675
KOI-3503 c,0.8,10.36,31.8245304,0.0079,0.0,6338.0,0.85,89.38,0.681,4.17,43.4,0.00865
KOI-351 g,7.055,138.48489,210.60104882500002,0.4156425,0.0,6194.0,1.0925,89.9625,0.08645,12.012825,140.2945,0.0591
KOI-351 h,10.144,308.57276,331.6087195,0.835322,0.0,6202.8,1.084,89.958,0.3983,14.61306,171.0512,0.085446
KOI-3680 b,10.852500000000001,613.4119,141.241620165,1.3469975,0.0,5870.75,0.9375,89.9525,0.13035,6.756925000000001,175.3625,0.10589499999999999
KOI-4777.01,0.42,99.2,0.82400012,0.01831,0.0,3396.0,0.28,80.79,0.7696999999999999,0.855,4.93,0.01373
KOI-94 b,1.576,8.128475,3.743187682,0.012822,0.0,6131.8,1.35,85.94000000000001,0.42636,3.6962200000000003,6.744800000000001,0.010716
KOI-94 c,3.7840000000000003,9.751065,10.42368355,0.07867199999999999,0.0,6131.8,1.35,89.614,0.081,5.223380000000001,15.5762,0.02571
KOI-94 d,10.14,74.0254575,22.342974914,0.562568,0.0,6131.8,1.35,89.83200000000001,0.07056,6.684147999999999,27.071500000000004,0.068836
KOI-94 e,6.034000000000001,18.69795333333333,54.319969932,0.197252,0.0,6131.8,1.35,89.718,0.19791999999999998,8.49514,48.90048,0.041012
Kepler-10 b,1.43,3.8384855555555557,0.8374912019999999,0.019222,0.0,5636.8,1.044,88.976,0.06862,1.80434,3.625816,0.012572
Kepler-10 c,2.2528333333333332,13.670085,45.29434741333333,0.045774999999999996,0.0,5635.166666666667,1.0466666666666666,89.90333333333334,0.07475,6.860966666666666,51.025666666666666,0.019776666666666668
Kepler-100 b,1.294,6.39246,6.887070167999999,0.007308,0.0,5834.4,1.434,85.71400000000001,0.62024,4.44542,9.158,0.008288
Kepler-100 c,2.2359999999999998,5.526115,12.815858109999999,0.022076000000000002,0.0,5834.4,1.434,86.694,0.63008,6.40846,12.044,0.01432
Kepler-100 d,1.49,2.38654,35.3331186,0.009361999999999999,0.0,5834.4,1.434,88.488,0.67172,5.964119999999999,32.995999999999995,0.009533999999999999
Kepler-101 b,4.61,51.1,3.487688974,0.132276,0.0,5724.6,1.264,88.086,0.17725999999999997,3.8776699999999997,6.705450000000001,0.03347
Kepler-101 c,0.974,3.78,6.02964759,0.0056419999999999994,0.0,5724.6,1.264,86.812,0.49178,3.8963799999999997,10.05,0.007068
Kepler-102 b,0.504,2.7,5.286952214,0.0042499999999999994,0.0,4848.8,0.752,87.3,0.54292,2.5582800000000003,12.935999999999998,0.006168
Kepler-102 c,0.6119999999999999,2.35,7.071356694,0.006647999999999999,0.0,4848.8,0.752,88.884,0.31634,2.85438,17.3288,0.007478
Kepler-102 d,1.376,3.4853125,10.311738484,0.027795999999999998,0.0,4848.8,0.752,87.172,0.76572,3.2007800000000004,16.478,0.016804
Kepler-102 e,2.516,6.123976666666666,16.145685848000003,0.097194,0.0,4848.8,0.752,88.10999999999999,0.71932,3.7303599999999997,24.326000000000004,0.030768000000000004
Kepler-102 f,0.8800000000000001,4.75,27.45368456,0.012886,0.0,4848.8,0.752,89.38199999999999,0.38478,3.63636,49.322,0.010740000000000001
Kepler-103 b,3.138,11.134023333333333,15.965337358,0.04845,0.0,5878.0,1.392,89.01,0.31628,4.5633,23.9266,0.020734
Kepler-103 c,5.2379999999999995,34.84833666666667,179.60675672,0.126868,0.0,5878.0,1.392,89.39599999999999,0.66626,13.5328,80.16000000000001,0.034474
Kepler-104 b,2.746,14.772715000000002,11.427539974,0.050454,0.0,5791.0,1.2020000000000002,88.828,0.30368,4.57466,18.0582,0.02092
Kepler-104 c,2.71,7.14431,23.668355832,0.045586,0.0,5791.0,1.2020000000000002,88.638,0.6417400000000001,5.7863,24.660000000000004,0.02061
Kepler-104 d,3.04,5.54022,51.75549246400001,0.06021,0.0,5791.0,1.2020000000000002,89.332,0.5181199999999999,7.374280000000001,47.08,0.023174
Kepler-105 b,3.4949999999999997,5.1,5.4122044533333336,0.05989833333333333,0.07833333333333332,6291.166666666667,1.335,87.90666666666665,0.35958333333333337,2.9164833333333333,12.785166666666667,0.0239
Kepler-105 c,1.8679999999999999,3.7333333333333334,7.12594972,0.019212,0.0,6270.0,1.2860000000000003,88.07999999999998,0.41054,2.84958,16.546,0.013356
Kepler-106 b,0.8300000000000001,5.3,6.164925376,0.006078,0.0,5872.4,1.028,87.466,0.56416,3.13788,12.59,0.007392
Kepler-106 c,2.432,11.881730000000001,13.570762894000001,0.0517,0.0,5872.4,1.028,89.032,0.37629999999999997,3.2394800000000004,28.035800000000002,0.021679999999999998
Kepler-106 d,1.042,8.1,23.98027596,0.009222,0.0,5872.4,1.028,88.594,0.42435999999999996,4.77254,32.894,0.009322
Kepler-106 e,2.6260000000000003,8.880315,43.84443556,0.060582000000000004,0.0,5872.4,1.028,89.272,0.49254,6.47662,44.46,0.023420000000000003
Kepler-107 b,1.552,3.655,3.1800127639999998,0.01206,0.0,5869.8,1.3619999999999999,84.244,0.38466,3.6022399999999997,5.9002,0.010496
Kepler-107 c,1.786,9.695,4.901446194,0.013989999999999999,0.0,5869.8,1.3619999999999999,81.50399999999999,0.76556,4.2628,5.664,0.01204
Kepler-107 d,1.07,5.75,7.958215952000001,0.0055379999999999995,0.0,5869.8,1.3619999999999999,86.63199999999999,0.42357999999999996,4.36174,11.298,0.007214
Kepler-107 e,3.006,11.35,14.749131158,0.042234,0.0,5869.8,1.3619999999999999,86.764,0.6267199999999999,6.2763,13.546000000000001,0.020248
Kepler-109 b,2.4099999999999997,5.584686666666667,6.481638268,0.03036,0.0,5934.4,1.338,87.806,0.36674,3.6728799999999997,12.055,0.016468
